     -124.74200000       40.31340000
     -124.41600000       40.31070000
     -124.16300000       39.91420000
     -123.89000000       39.43880000
     -123.59700000       38.99710000
     -123.30500000       38.54060000
     -122.69600000       37.87400000
     -122.38000000       37.52700000
     -122.00500000       37.20480000
     -121.30500000       36.69830000
     -120.89700000       36.33770000
     -120.43800000       35.91020000
     -119.93600000       35.45020000
     -119.32900000       34.98120000
     -118.91200000       34.83730000
     -118.40000000       34.65800000
     -118.07200000       34.56410000
     -117.74600000       34.44120000
     -117.50700000       34.34980000
     -117.15900000       34.18110000
     -116.66000000       34.04240000
     -116.20900000       33.77110000
     -115.77300000       33.42110000
     -115.77300000       33.42110000
     -115.59600000       33.23660000
     -115.71700000       33.12970000
     -115.59400000       33.04020000
     -115.50800000       32.95810000
     -115.58100000       32.87600000
     -115.41200000       32.71000000
     -115.21200000       32.51180000
     -115.33000000       32.41830000
     -115.08500000       32.23590000
     -114.76500000       31.99520000
     -114.52200000       31.78600000
     -114.33200000       31.60160000
     -114.20700000       31.45850000
     -114.11800000       31.35570000
     -114.33000000       31.19360000
     -114.43900000       31.09720000
     -114.30300000       30.91230000
     -114.12900000       30.67970000
     -113.98600000       30.51340000
     -113.80700000       30.31350000
     -114.04100000       30.12050000
     -113.90900000       29.98200000
     -113.75800000       29.83440000
     -113.87000000       29.72980000
     -113.96900000       29.64580000
     -113.77500000       29.43970000
     -113.52100000       29.20540000
     -113.28100000       29.00840000
     -113.33900000       28.94980000
     -113.08700000       28.71470000
     -112.81200000       28.49870000
     -112.58900000       28.32230000
     -112.32100000       28.12490000
     -112.01500000       27.90600000
     -111.71100000       27.69350000
     -111.50600000       27.57000000
     -111.38200000       27.49690000
     -111.56900000       27.21520000
     -111.37300000       27.10530000
     -111.50600000       26.92670000
     -111.22800000       26.72340000
     -110.95700000       26.53500000
     -110.75800000       26.41590000
     -110.68000000       26.36050000
     -110.77800000       26.22490000
     -110.57200000       26.06610000
     -110.29100000       25.88950000
     -110.02400000       25.70630000
     -109.87200000       25.60730000
     -109.80600000       25.55670000
     -110.00700000       25.33920000
     -109.78800000       25.17970000
     -109.59100000       25.01630000
     -109.35000000       24.85680000
     -109.17800000       24.73480000
     -109.06200000       24.65820000
     -109.27600000       24.39600000
     -109.00200000       24.15150000
     -108.80600000       23.98440000
     -108.61000000       23.81410000
     -108.43900000       23.67430000
     -108.35700000       23.61350000
     -108.65100000       23.24130000
     -108.38800000       23.08220000
     -108.01000000       22.98570000
     -108.23200000       22.71170000
