   -123.70000000     38.86000000 -8.16041421e+04  4.32242328e+06
   -123.16000000     38.33000000 -3.86532333e+04  4.26022094e+06
   -122.69000000     37.84000000 -8.67542212e+02  4.20314306e+06
   -122.05000000     37.30000000  5.22763267e+04  4.13992370e+06
   -122.06100000     37.22530000  5.08555829e+04  4.13168046e+06
   -122.06100000     37.22530000  5.08555829e+04  4.13168046e+06
   -122.06100000     37.22520000  5.08549879e+04  4.13166935e+06
   -122.04300000     37.20850000  5.23545477e+04  4.12972932e+06
   -122.02200000     37.19500000  5.41402625e+04  4.12813081e+06
   -121.99900000     37.17900000  5.60896971e+04  4.12624573e+06
   -121.97300000     37.15910000  5.82838900e+04  4.12391408e+06
   -121.94200000     37.13990000  6.09279225e+04  4.12163763e+06
   -121.90400000     37.11540000  6.41653872e+04  4.11874136e+06
   -121.87600000     37.09630000  6.65463275e+04  4.11649189e+06
   -121.84600000     37.07860000  6.91144470e+04  4.11438958e+06
   -121.81800000     37.05700000  7.14838428e+04  4.11186414e+06
   -121.78300000     37.03700000  7.44868093e+04  4.10948574e+06
   -121.74700000     37.01090000  7.75466151e+04  4.10642678e+06
   -121.71100000     36.97810000  8.05717945e+04  4.10262521e+06
   -121.67900000     36.94810000  8.32586384e+04  4.09915339e+06
   -121.65700000     36.92990000  8.51203757e+04  4.09703637e+06
   -121.62200000     36.90560000  8.81093075e+04  4.09418621e+06
   -121.59600000     36.88670000  9.03264231e+04  4.09197553e+06
   -121.56200000     36.87070000  9.32738212e+04  4.09005331e+06
   -121.51500000     36.83150000  9.72604551e+04  4.08550143e+06
   -121.48100000     36.80730000  1.00168834e+05  4.08267156e+06
   -121.43600000     36.77950000  1.04042978e+05  4.07939749e+06
   -121.40600000     36.76460000  1.06645981e+05  4.07761926e+06
   -121.37700000     36.74730000  1.09148480e+05  4.07557957e+06
   -121.35000000     36.72910000  1.11468881e+05  4.07344892e+06
   -121.31800000     36.70770000  1.14221344e+05  4.07094357e+06
   -121.27900000     36.68090000  1.17574529e+05  4.06781177e+06
   -121.25900000     36.66440000  1.19281461e+05  4.06590031e+06
   -121.23400000     36.64590000  1.21426657e+05  4.06374746e+06
   -121.20600000     36.62070000  1.23808760e+05  4.06083968e+06
   -121.17800000     36.60150000  1.26221561e+05  4.05859875e+06
   -121.15500000     36.57910000  1.28172593e+05  4.05602275e+06
   -121.13200000     36.55100000  1.30097639e+05  4.05281456e+06
   -121.11300000     36.53610000  1.31728582e+05  4.05108753e+06
   -121.08800000     36.51240000  1.33856251e+05  4.04836114e+06
   -121.06500000     36.48480000  1.35787769e+05  4.04521004e+06
   -121.04000000     36.46000000  1.37913216e+05  4.04236278e+06
   -121.01900000     36.43800000  1.39694329e+05  4.03984193e+06
   -120.98900000     36.40620000  1.42238993e+05  4.03620027e+06
   -120.97000000     36.38530000  1.43848324e+05  4.03381001e+06
   -120.94200000     36.36170000  1.46254358e+05  4.03108738e+06
   -120.90700000     36.33150000  1.49260952e+05  4.02760750e+06
   -120.88200000     36.30700000  1.51396990e+05  4.02479758e+06
   -120.85600000     36.28530000  1.53636749e+05  4.02229549e+06
   -120.83600000     36.26420000  1.55341142e+05  4.01988205e+06
   -120.81600000     36.23920000  1.57029472e+05  4.01703616e+06
   -120.79600000     36.21820000  1.58736412e+05  4.01463465e+06
   -120.76900000     36.19590000  1.61068487e+05  4.01206474e+06
   -120.74100000     36.17540000  1.63499678e+05  4.00969186e+06
   -120.71600000     36.15340000  1.65655795e+05  4.00716363e+06
   -120.69400000     36.13170000  1.67544361e+05  4.00467960e+06
   -120.68100000     36.11870000  1.68660117e+05  4.00319232e+06
   -120.66100000     36.10200000  1.70391252e+05  4.00127078e+06
   -120.63300000     36.07790000  1.72813168e+05  3.99850139e+06
   -120.60300000     36.05310000  1.75414033e+05  3.99564842e+06
   -120.58300000     36.03020000  1.77122883e+05  3.99304037e+06
   -120.56400000     36.00810000  1.78745897e+05  3.99052482e+06
   -120.54400000     35.98830000  1.80469397e+05  3.98826161e+06
   -120.51900000     35.96590000  1.82634502e+05  3.98569395e+06
   -120.49200000     35.94360000  1.84981807e+05  3.98313156e+06
   -120.47400000     35.92790000  1.86544162e+05  3.98133122e+06
   -120.45900000     35.91280000  1.87838694e+05  3.97960740e+06
   -120.43000000     35.88890000  1.90363601e+05  3.97686272e+06
   -120.41000000     35.87230000  1.92105401e+05  3.97495732e+06
   -120.38800000     35.85420000  1.94022887e+05  3.97287959e+06
   -120.36500000     35.83520000  1.96028224e+05  3.97069936e+06
   -120.34600000     35.81630000  1.97673405e+05  3.96854312e+06
   -120.32300000     35.79010000  1.99653550e+05  3.96556489e+06
   -120.30700000     35.76170000  2.00993750e+05  3.96236444e+06
   -120.29700000     35.73840000  2.01811209e+05  3.95974844e+06
   -120.29000000     35.72380000  2.02390142e+05  3.95810705e+06
   -120.28000000     35.71160000  2.03249755e+05  3.95672296e+06
   -120.26000000     35.69360000  2.04993444e+05  3.95466524e+06
   -120.23800000     35.67550000  2.06918689e+05  3.95259085e+06
   -120.21200000     35.65470000  2.09197308e+05  3.95020549e+06
   -120.19400000     35.64090000  2.10777707e+05  3.94862105e+06
   -120.17600000     35.62530000  2.12352222e+05  3.94683720e+06
   -120.15000000     35.60440000  2.14633472e+05  3.94444234e+06
   -120.12000000     35.57380000  2.17244417e+05  3.94096034e+06
   -120.10000000     35.54730000  2.18964920e+05  3.93796269e+06
   -120.08500000     35.53130000  2.20269581e+05  3.93614467e+06
   -120.06600000     35.51540000  2.21938028e+05  3.93432667e+06
