    -30.00     60.50   -0.3333    1.1654
    -27.22     58.27   -0.3298    1.1601
    -24.78     55.98   -0.3209    1.1532
    -22.61     53.65   -0.3087    1.1442
    -20.67     51.29   -0.2943    1.1328
    -18.92     48.90   -0.2788    1.1186
    -17.33     46.48   -0.2626    1.1013
    -15.87     44.04   -0.2462    1.0804
    -14.54     41.59   -0.2299    1.0556
    -13.30     39.12   -0.2138    1.0265
    -12.14     36.64   -0.1979    0.9929
    -11.06     34.15   -0.1824    0.9545
    -10.04     31.65   -0.1673    0.9111
     -9.07     29.14   -0.1524    0.8626
     -8.15     26.62   -0.1380    0.8090
     -7.27     24.10   -0.1238    0.7504
     -6.42     21.58   -0.1100    0.6868
     -5.60     19.05   -0.0964    0.6185
     -4.81     16.51   -0.0831    0.5458
     -4.04     13.98   -0.0699    0.4691
     -3.28     11.44   -0.0570    0.3889
     -2.54      8.90   -0.0442    0.3057
     -1.81      6.36   -0.0315    0.2201
     -1.08      3.82   -0.0189    0.1328
     -0.36      1.27   -0.0063    0.0444
      0.36     -1.27    0.0063   -0.0444
      1.08     -3.82    0.0189   -0.1328
      1.81     -6.36    0.0315   -0.2201
      2.54     -8.90    0.0442   -0.3057
      3.28    -11.44    0.0570   -0.3889
      4.04    -13.98    0.0699   -0.4691
      4.81    -16.51    0.0831   -0.5458
      5.60    -19.05    0.0964   -0.6185
      6.42    -21.58    0.1100   -0.6868
      7.27    -24.10    0.1238   -0.7504
      8.15    -26.62    0.1380   -0.8090
      9.07    -29.14    0.1524   -0.8626
     10.04    -31.65    0.1673   -0.9111
     11.06    -34.15    0.1824   -0.9545
     12.14    -36.64    0.1979   -0.9929
     13.30    -39.12    0.2138   -1.0265
     14.54    -41.59    0.2299   -1.0556
     15.87    -44.04    0.2462   -1.0804
     17.33    -46.48    0.2626   -1.1013
     18.92    -48.90    0.2788   -1.1186
     20.67    -51.29    0.2943   -1.1328
     22.61    -53.65    0.3087   -1.1442
     24.78    -55.98    0.3209   -1.1532
     27.22    -58.27    0.3298   -1.1601
     30.00    -60.50    0.3333   -1.1654
