 -2.2428710873e+01  8.1673863051e+01
 -2.4311226406e+01  8.3790198358e+01
 -2.3640959596e+01  8.3224675595e+01
 -2.9407915372e+01  8.3311210001e+01
 -8.4010664670e+00  8.3170797295e+01
 -1.5993002120e+01  8.3433505373e+01
 -1.4600636132e+01  8.3500378401e+01
 -2.0169577332e+01  7.9617781524e+01
 -1.5753382870e+01  8.1030941437e+01
 -1.9481425994e+01  8.2014887743e+01
 -4.0943013096e+00  8.1555719748e+01
  2.2713292527e+01  8.3527347189e+01
 -2.0815875546e+01  7.9715979281e+01
 -2.1062852301e+01  8.0070356294e+01
